ASN,peers_AS
AS134148,['AS201916']
AS37348,"['AS63255', 'AS136486']"
AS9023,"['AS7138', 'AS400527', 'AS23724']"
AS60406,['AS216465']
AS147246,"['AS197521', 'AS263949']"
AS273041,"['AS207266', 'AS41016', 'AS262889']"
AS270455,['AS213557']
AS209299,"['AS212416', 'AS209997']"
AS54086,"['AS59959', 'AS393826', 'AS21298']"
AS204037,['AS395003']
AS63207,"['AS37076', 'AS211820']"
AS62001,"['AS211431', 'AS215168', 'AS211093']"
AS461,['AS136135']
AS207206,"['AS397911', 'AS328497']"
AS202005,"['AS6659', 'AS269698', 'AS206121']"
AS19569,['AS197555']
AS208027,"['AS153565', 'AS206347']"
AS133434,"['AS51284', 'AS50303', 'AS19318']"
AS199716,['AS132988']
AS269233,"['AS29219', 'AS202773']"
AS46309,"['AS199300', 'AS265117', 'AS13833']"
AS211331,['AS266940']
AS271529,"['AS401600', 'AS264557']"
AS52366,"['AS207002', 'AS24540', 'AS28947']"
AS10079,['AS150774']
AS329465,"['AS203567', 'AS46432']"
AS9568,"['AS55329', 'AS263214', 'AS149185']"
AS214349,['AS48284']
AS46254,"['AS201273', 'AS273948']"
AS59116,"['AS36551', 'AS204401', 'AS26462']"
