ASN,peers_AS
AS134148,['AS201916']
AS60406,['AS216465']
AS270455,['AS213557']
AS204037,['AS395003']
AS461,['AS136135']
AS19569,['AS197555']
AS199716,['AS132988']
AS211331,['AS266940']
AS10079,['AS150774']
AS214349,['AS48284']
AS141241,['AS24691']
AS8775,['AS135024']
AS273878,['AS135303']
AS328327,['AS396557']
AS270100,['AS52501']
AS208903,['AS13238']
AS39241,['AS206741']
AS43442,['AS32744']
AS213818,['AS32020']
AS18309,['AS215239']
AS197743,['AS46084']
AS153256,['AS152900']
AS214317,['AS38763']
AS150078,['AS42132']
AS43321,['AS262469']
AS198712,['AS141125']
AS211830,['AS273686']
AS151415,['AS10351']
AS60393,['AS8811']
AS22491,['AS29080']
AS56991,['AS42069']
AS139447,['AS1887']
AS54656,['AS51367']
AS133604,['AS33900']
AS132219,['AS61309']
AS62301,['AS54957']
AS34113,['AS328179']
AS138544,['AS14217']
AS60103,['AS64444']
AS400446,['AS263293']
AS41923,['AS25261']
AS263431,['AS138823']
AS63413,['AS16855']
AS141006,['AS135125']
AS134864,['AS131950']
AS133943,['AS48589']
AS40249,['AS132473']
AS210587,['AS54620']
AS47858,['AS17135']
AS327910,['AS63134']
AS216357,['AS216431']
AS56476,['AS21256']
AS14246,['AS62758']
AS9646,['AS25393']
AS137255,['AS4868']
AS13764,['AS208966']
AS927,['AS13438']
AS149980,['AS137625']
AS40129,['AS59771']
AS26064,['AS327824']
AS269431,['AS393485']
AS197544,['AS269209']
AS267125,['AS6342']
AS137102,['AS141288']
AS51658,['AS62742']
AS268065,['AS136118']
AS267954,['AS36374']
AS52649,['AS149226']
AS216128,['AS202075']
AS57967,['AS50568']
AS269191,['AS206566']
AS12734,['AS132692']
AS132867,['AS140789']
AS267314,['AS53246']
AS47101,['AS63899']
AS50403,['AS266905']
AS49662,['AS263641']
AS265909,['AS9405']
AS267957,['AS198721']
AS270837,['AS203998']
AS33975,['AS200584']
AS54305,['AS33717']
AS263084,['AS41135']
AS17271,['AS399997']
AS196904,['AS41185']
AS32274,['AS29010']
AS3858,['AS266195']
AS270511,['AS40471']
AS197047,['AS31540']
AS216092,['AS136294']
AS395010,['AS263579']
AS43431,['AS136962']
AS397243,['AS50632']
AS60637,['AS268865']
AS396384,['AS397492']
AS54323,['AS267072']
AS49356,['AS53647']
AS136670,['AS136521']
AS138378,['AS205288']
AS47420,['AS149409']
AS266055,['AS133692']
AS136203,['AS51827']
AS215374,['AS153328']
AS48034,['AS40493']
AS25522,['AS40027']
AS61346,['AS152695']
AS202910,['AS397999']
AS11134,['AS37667']
AS32943,['AS273785']
AS51799,['AS47401']
AS134381,['AS8382']
AS263106,['AS140576']
AS150940,['AS328952']
AS266012,['AS3276']
AS272757,['AS200448']
AS399404,['AS272678']
AS49244,['AS262567']
AS59557,['AS137153']
AS153140,['AS23601']
AS136431,['AS33286']
AS11458,['AS400860']
AS212797,['AS24449']
AS398134,['AS31612']
AS10788,['AS269087']
AS207433,['AS43913']
AS264895,['AS153258']
AS208877,['AS201347']
AS61129,['AS132872']
AS44719,['AS51180']
AS29901,['AS8501']
AS60442,['AS208611']
AS266450,['AS209883']
AS262450,['AS38983']
AS44616,['AS37215']
AS262637,['AS47967']
AS208590,['AS393367']
AS43318,['AS38919']
AS62810,['AS267502']
AS12783,['AS26131']
AS147014,['AS41727']
AS32238,['AS209757']
AS46640,['AS37474']
AS58106,['AS26209']
AS131762,['AS10939']
AS203213,['AS22147']
AS203060,['AS136064']
AS201478,['AS29046']
AS329236,['AS59833']
AS274603,['AS39267']
AS54982,['AS28780']
AS207681,['AS40784']
AS44434,['AS8607']
AS393830,['AS27257']
AS263255,['AS269000']
AS60985,['AS21294']
AS58131,['AS211157']
AS40661,['AS204912']
AS266885,['AS9672']
AS270485,['AS209125']
AS137106,['AS270146']
AS35781,['AS28820']
AS140747,['AS393550']
AS214722,['AS393606']
AS262811,['AS153124']
AS138654,['AS19256']
AS209285,['AS24568']
AS265786,['AS43534']
AS398289,['AS30520']
AS62063,['AS395007']
AS43349,['AS10052']
AS271893,['AS138297']
AS53054,['AS22671']
AS150550,['AS29944']
AS65103,['AS37989']
AS206107,['AS12279']
AS209248,['AS33548']
AS204278,['AS213508']
AS329253,['AS41567']
AS268722,['AS146941']
AS271651,['AS43990']
AS44158,['AS328923']
AS49836,['AS29620']
AS40687,['AS398433']
AS9709,['AS198112']
AS43687,['AS135048']
AS20061,['AS210740']
AS32450,['AS150305']
AS62170,['AS33170']
AS215910,['AS328478']
AS215946,['AS211190']
AS153650,['AS43902']
AS153606,['AS210433']
AS11784,['AS201032']
AS23804,['AS272373']
AS267279,['AS30097']
AS39448,['AS38488']
AS210677,['AS209007']
AS400008,['AS51598']
AS398800,['AS21571']
AS262749,['AS137219']
AS270879,['AS205359']
AS394617,['AS33200']
AS137067,['AS21705']
AS399552,['AS266487']
AS29816,['AS134997']
AS270666,['AS152735']
AS271465,['AS399598']
AS268688,['AS38652']
AS46367,['AS35399']
AS210693,['AS53172']
AS30379,['AS138367']
AS398199,['AS153262']
AS140879,['AS58606']
AS151908,['AS42695']
AS206767,['AS34418']
AS328816,['AS202250']
AS43167,['AS268525']
AS209464,['AS396509']
AS399398,['AS394041']
AS152422,['AS328460']
AS212432,['AS152452']
AS212401,['AS393671']
AS208938,['AS138529']
AS328777,['AS133044']
AS398365,['AS393928']
AS140924,['AS393945']
AS27391,['AS30142']
AS210518,['AS273774']
AS13233,['AS209906']
AS62420,['AS209975']
AS54307,['AS51704']
AS9525,['AS8570']
AS60067,['AS35657']
AS60229,['AS152045']
AS62061,['AS55127']
AS39247,['AS329343']
AS200915,['AS137672']
AS199153,['AS263275']
AS215299,['AS395923']
AS398788,['AS50666']
AS199008,['AS58640']
AS16278,['AS510']
AS396192,['AS18635']
AS329471,['AS35673']
AS40085,['AS52844']
AS46881,['AS54528']
AS210896,['AS13909']
AS52359,['AS263958']
AS394875,['AS399404']
AS54979,['AS138152']
AS37348,"['AS63255', 'AS136486']"
AS147246,"['AS197521', 'AS263949']"
AS209299,"['AS212416', 'AS209997']"
AS63207,"['AS37076', 'AS211820']"
AS207206,"['AS397911', 'AS328497']"
AS208027,"['AS153565', 'AS206347']"
AS269233,"['AS29219', 'AS202773']"
AS271529,"['AS401600', 'AS264557']"
AS329465,"['AS203567', 'AS46432']"
AS265160,"['AS31817', 'AS63752']"
AS398938,"['AS152437', 'AS328618']"
AS268992,"['AS62572', 'AS211643']"
AS138563,"['AS208592', 'AS49895']"
AS274721,"['AS266409', 'AS134264']"
AS54937,"['AS395447', 'AS9488']"
AS1023,"['AS41591', 'AS398409']"
AS41366,"['AS47619', 'AS265125']"
AS208660,"['AS38852', 'AS400039']"
AS16061,"['AS32444', 'AS328652']"
AS214210,"['AS395020', 'AS57628']"
AS35944,"['AS267279', 'AS2472']"
AS134573,"['AS212332', 'AS1615']"
AS202475,"['AS32326', 'AS6849']"
AS199709,"['AS43598', 'AS271649']"
AS56426,"['AS266274', 'AS50802']"
AS27439,"['AS150210', 'AS210350']"
AS22989,"['AS210808', 'AS201688']"
AS400258,"['AS397632', 'AS267492']"
AS58649,"['AS41678', 'AS197058']"
AS47291,"['AS150570', 'AS30692']"
AS58403,"['AS21470', 'AS135447']"
AS50637,"['AS10045', 'AS211901']"
AS202601,"['AS57905', 'AS34675']"
AS5609,"['AS29475', 'AS215920']"
AS394463,"['AS204380', 'AS26989']"
AS44560,"['AS149675', 'AS2025']"
AS60868,"['AS214509', 'AS37150']"
AS199427,"['AS201512', 'AS1050']"
AS149480,"['AS270129', 'AS213926']"
AS138343,"['AS20423', 'AS135629']"
AS201544,"['AS6406', 'AS64228']"
AS149058,"['AS210143', 'AS135686']"
AS131606,"['AS268484', 'AS57471']"
AS152481,"['AS32171', 'AS29140']"
AS11967,"['AS204928', 'AS41184']"
AS29878,"['AS48835', 'AS136803']"
AS197114,"['AS203412', 'AS52226']"
AS199289,"['AS197215', 'AS198398']"
AS136232,"['AS15917', 'AS61317']"
AS33825,"['AS22337', 'AS5972']"
AS141406,"['AS397110', 'AS34574']"
AS40752,"['AS47631', 'AS17293']"
AS270339,"['AS12926', 'AS17622']"
AS32774,"['AS56640', 'AS23884']"
AS206970,"['AS12418', 'AS267758']"
AS135152,"['AS137073', 'AS27533']"
AS263377,"['AS268983', 'AS16760']"
AS269783,"['AS149098', 'AS35974']"
AS49373,"['AS206870', 'AS196976']"
AS271309,"['AS210972', 'AS30221']"
AS271224,"['AS132481', 'AS197998']"
AS49916,"['AS149146', 'AS26788']"
AS215981,"['AS52621', 'AS199011']"
AS58337,"['AS26858', 'AS140384']"
AS62122,"['AS264163', 'AS11544']"
AS209220,"['AS56408', 'AS209216']"
AS152557,"['AS216078', 'AS55157']"
AS266227,"['AS55620', 'AS206521']"
AS2904,"['AS262546', 'AS270905']"
AS14997,"['AS50749', 'AS28535']"
AS205124,"['AS200441', 'AS56486']"
AS393311,"['AS149873', 'AS394843']"
AS152105,"['AS48519', 'AS139959']"
AS398812,"['AS35219', 'AS22834']"
AS273686,"['AS147006', 'AS44646']"
AS149644,"['AS9830', 'AS49542']"
AS131558,"['AS23066', 'AS265189']"
AS13918,"['AS59853', 'AS200163']"
AS23548,"['AS267729', 'AS206566']"
AS63066,"['AS393849', 'AS58930']"
AS265081,"['AS6379', 'AS394867']"
AS50728,"['AS4867', 'AS136669']"
AS39011,"['AS269528', 'AS38074']"
AS271502,"['AS46575', 'AS150075']"
AS397288,"['AS34555', 'AS139449']"
AS263351,"['AS137404', 'AS51164']"
AS208655,"['AS136239', 'AS20718']"
AS6759,"['AS33522', 'AS215362']"
AS198008,"['AS263252', 'AS41355']"
AS25326,"['AS204758', 'AS29720']"
AS43246,"['AS61941', 'AS53729']"
AS51044,"['AS149670', 'AS11205']"
AS53409,"['AS27405', 'AS61797']"
AS203420,"['AS36195', 'AS272036']"
AS272910,"['AS272711', 'AS36768']"
AS396188,"['AS25774', 'AS271375']"
AS134911,"['AS205111', 'AS147216']"
AS207642,"['AS40980', 'AS29821']"
AS14064,"['AS199191', 'AS208794']"
AS51112,"['AS11075', 'AS4781']"
AS51968,"['AS152052', 'AS397998']"
AS3620,"['AS20101', 'AS37312']"
AS269030,"['AS56853', 'AS132808']"
AS196895,"['AS36691', 'AS327926']"
AS133677,"['AS137656', 'AS201213']"
AS42681,"['AS201071', 'AS50789']"
AS61227,"['AS35853', 'AS35096']"
AS199708,"['AS16094', 'AS61908']"
AS328911,"['AS8932', 'AS262550']"
AS48727,"['AS399554', 'AS270718']"
AS268380,"['AS328193', 'AS133037']"
AS151781,"['AS48856', 'AS271076']"
AS147077,"['AS270697', 'AS55077']"
AS55231,"['AS48970', 'AS199893']"
AS396396,"['AS400414', 'AS31905']"
AS205335,"['AS40606', 'AS215312']"
AS133175,"['AS18859', 'AS30698']"
AS34869,"['AS52422', 'AS210848']"
AS133416,"['AS29649', 'AS136796']"
AS212303,"['AS25015', 'AS35975']"
AS40270,"['AS23016', 'AS9180']"
AS60409,"['AS204519', 'AS138809']"
AS264957,"['AS62469', 'AS42293']"
AS201221,"['AS11218', 'AS56729']"
AS265024,"['AS142502', 'AS35857']"
AS9052,"['AS13638', 'AS137471']"
AS152339,"['AS15020', 'AS208303']"
AS267296,"['AS132972', 'AS270770']"
AS58498,"['AS151103', 'AS264100']"
AS202852,"['AS2590', 'AS64513']"
AS43499,"['AS393798', 'AS201777']"
AS267053,"['AS18307', 'AS197387']"
AS205567,"['AS6948', 'AS141026']"
AS152647,"['AS131093', 'AS266887']"
AS205324,"['AS271020', 'AS205619']"
AS15276,"['AS11678', 'AS17271']"
AS56774,"['AS43594', 'AS134305']"
AS17095,"['AS24774', 'AS267731']"
AS151536,"['AS5', 'AS393985']"
AS52401,"['AS268628', 'AS396545']"
AS137869,"['AS49034', 'AS20068']"
AS61924,"['AS26980', 'AS1670']"
AS32713,"['AS17321', 'AS61094']"
AS150743,"['AS47969', 'AS131381']"
AS132661,"['AS136395', 'AS22065']"
AS18308,"['AS200075', 'AS269753']"
AS399871,"['AS49465', 'AS26657']"
AS49077,"['AS64473', 'AS29099']"
AS138969,"['AS197133', 'AS42798']"
AS62873,"['AS201295', 'AS140672']"
AS47792,"['AS205528', 'AS196765']"
AS267036,"['AS141671', 'AS47605']"
AS207078,"['AS327799', 'AS60359']"
AS146901,"['AS215403', 'AS17030']"
AS270588,"['AS45852', 'AS17716']"
AS150331,"['AS393867', 'AS48542']"
AS10236,"['AS10834', 'AS212672']"
AS210002,"['AS205139', 'AS134734']"
AS201436,"['AS18855', 'AS40042']"
AS15077,"['AS400161', 'AS49145']"
AS52413,"['AS28859', 'AS51516']"
AS141916,"['AS37575', 'AS16989']"
AS63067,"['AS24656', 'AS136285']"
AS137937,"['AS45724', 'AS397697']"
AS199272,"['AS394980', 'AS133151']"
AS14088,"['AS35110', 'AS206123']"
AS16993,"['AS396081', 'AS52618']"
AS401398,"['AS269675', 'AS393830']"
AS141855,"['AS394690', 'AS395210']"
AS47513,"['AS147240', 'AS149930']"
AS397147,"['AS44196', 'AS153345']"
AS211808,"['AS399317', 'AS59923']"
AS14990,"['AS132924', 'AS199201']"
AS37098,"['AS27823', 'AS57827']"
AS56828,"['AS48940', 'AS21014']"
AS63340,"['AS328491', 'AS133105']"
AS264508,"['AS140006', 'AS149974']"
AS14440,"['AS209635', 'AS398956']"
AS398734,"['AS133592', 'AS213100']"
AS20182,"['AS397681', 'AS55532']"
AS39072,"['AS23078', 'AS54155']"
AS56934,"['AS16981', 'AS6807']"
AS54652,"['AS57967', 'AS211730']"
AS56274,"['AS25335', 'AS214950']"
AS400741,"['AS3586', 'AS11598']"
AS38999,"['AS52579', 'AS131440']"
AS38047,"['AS59402', 'AS44682']"
AS19845,"['AS213724', 'AS136433']"
AS17244,"['AS206804', 'AS23764']"
AS11159,"['AS141771', 'AS264637']"
AS16429,"['AS15094', 'AS61583']"
AS212677,"['AS208485', 'AS136830']"
AS197750,"['AS264093', 'AS22368']"
AS61406,"['AS12842', 'AS202454']"
AS12051,"['AS12107', 'AS20647']"
AS140807,"['AS204496', 'AS399215']"
AS131850,"['AS400309', 'AS13490']"
AS34426,"['AS399998', 'AS268620']"
AS203984,"['AS269813', 'AS4569']"
AS54714,"['AS202553', 'AS57683']"
AS201921,"['AS53810', 'AS58311']"
AS214447,"['AS270819', 'AS152802']"
AS3921,"['AS205637', 'AS15884']"
AS201678,"['AS46957', 'AS205733']"
AS398636,"['AS152551', 'AS209834']"
AS33786,"['AS44882', 'AS2116']"
AS150980,"['AS19357', 'AS141047']"
AS4195,"['AS267516', 'AS21885']"
AS34723,"['AS56245', 'AS203304']"
AS49528,"['AS267352', 'AS54793']"
AS29487,"['AS262612', 'AS136215']"
AS393240,"['AS212207', 'AS32307']"
AS210021,"['AS399488', 'AS29345']"
AS43676,"['AS24130', 'AS28780']"
AS21529,"['AS31857', 'AS152332']"
AS30108,"['AS29866', 'AS47465']"
AS44512,"['AS138138', 'AS210878']"
AS202932,"['AS13710', 'AS61863']"
AS393931,"['AS31173', 'AS27592']"
AS45874,"['AS139564', 'AS271002']"
AS59721,"['AS34252', 'AS264381']"
AS29646,"['AS61943', 'AS28760']"
AS13,"['AS132209', 'AS263056']"
AS55608,"['AS202015', 'AS397545']"
AS134116,"['AS206478', 'AS33509']"
AS210821,"['AS138219', 'AS18757']"
AS395562,"['AS396984', 'AS63460']"
AS206012,"['AS204320', 'AS152126']"
AS26075,"['AS13549', 'AS60776']"
AS136225,"['AS60346', 'AS21718']"
AS9280,"['AS273499', 'AS48767']"
AS44327,"['AS60584', 'AS266352']"
AS36829,"['AS395226', 'AS395462']"
AS215362,"['AS203602', 'AS205863']"
AS32473,"['AS131763', 'AS269457']"
AS44084,"['AS202589', 'AS52759']"
AS395450,"['AS63171', 'AS1930']"
AS141038,"['AS216094', 'AS399818']"
AS5647,"['AS11743', 'AS60573']"
AS48447,"['AS208493', 'AS11534']"
AS150127,"['AS30992', 'AS135403']"
AS132505,"['AS138390', 'AS328591']"
AS137331,"['AS29048', 'AS206186']"
AS47829,"['AS328480', 'AS397754']"
AS42333,"['AS18567', 'AS153382']"
AS23500,"['AS263834', 'AS33059']"
AS398908,"['AS393782', 'AS152525']"
AS56351,"['AS41044', 'AS328371']"
AS46254,"['AS201273', 'AS273948']"
AS9023,"['AS7138', 'AS400527', 'AS23724']"
AS273041,"['AS207266', 'AS41016', 'AS262889']"
AS54086,"['AS59959', 'AS393826', 'AS21298']"
AS62001,"['AS211431', 'AS215168', 'AS211093']"
AS202005,"['AS6659', 'AS269698', 'AS206121']"
AS133434,"['AS51284', 'AS50303', 'AS19318']"
AS46309,"['AS199300', 'AS265117', 'AS13833']"
AS52366,"['AS207002', 'AS24540', 'AS28947']"
AS9568,"['AS55329', 'AS263214', 'AS149185']"
AS59116,"['AS36551', 'AS204401', 'AS26462']"
AS35732,"['AS47943', 'AS137980', 'AS51772']"
AS27,"['AS39154', 'AS7271', 'AS272119']"
AS24459,"['AS14914', 'AS35420', 'AS141857']"
AS216323,"['AS53713', 'AS266339', 'AS202156']"
AS30072,"['AS7151', 'AS327871', 'AS61696']"
AS396077,"['AS59103', 'AS204483', 'AS38532']"
AS57526,"['AS133609', 'AS43277', 'AS203735']"
AS48383,"['AS132161', 'AS270778', 'AS264602']"
AS38113,"['AS35042', 'AS25740', 'AS29177']"
AS6977,"['AS209888', 'AS48772', 'AS201659']"
AS141013,"['AS273394', 'AS51752', 'AS207277']"
AS29456,"['AS52281', 'AS133934', 'AS393501']"
AS11623,"['AS395664', 'AS131129', 'AS142366']"
AS268812,"['AS270780', 'AS203193', 'AS52118']"
AS48747,"['AS39063', 'AS400268', 'AS30517']"
